,pdbs,chains,hetids,resnum
0,1S1X,A,NVP,999
1,3LAN,A,KBT,561
2,1LW2,A,U05,999
3,6BSG,A,EFZ,601
4,2WON,A,ZZE,1558
5,2HNZ,A,PC0,999
6,3M8P,A,65B,562
7,3T19,A,5MA,561
8,3MEG,A,T27,561
9,2YNH,A,EUR,1560
10,1S1V,A,TNK,999
11,4NCG,A,2KW,601
12,2RF2,A,MRX,561
13,1C0U,A,BM5,999
14,3TAM,A,M06,561
15,1C1C,A,612,999
16,1JLQ,A,SBN,999
17,1C1B,A,GCA,999
18,1S1W,A,UC1,999
19,2YNF,A,WHU,1563
20,1ODX,A,0E8,201
21,3NBP,A,JGZ,562
22,1FKO,A,EFZ,999
23,3DRR,A,R8E,601
24,3FFI,A,3OB,561
25,1TKX,A,GWB,999
26,5K14,A,IB1,601
27,1TKT,A,H12,999
28,1TL1,A,H18,999
29,1RT6,A,UC3,999
30,1RT7,A,UC4,999
31,3C6U,A,M22,561
32,4Q1Y,A,017,106
33,2OPR,A,HBQ,999
