,pdbs,chains,hetids,resnum
0,4KG5,A,CEF,404
1,2FFY,A,SM3,5401
2,1L2S,A,STC,1115
3,1PI5,A,SM2,401
4,3IXB,A,BZB,363
5,4KZB,A,NZ2,404
6,4KZA,A,NZ9,405
7,3BLS,A,APB,362
8,4JXV,A,1MU,402
9,1KDW,A,4CB,364
10,4KZ5,A,1U3,401
11,3GTC,A,GTC,362
12,3GSG,A,GF1,366
13,1KE0,A,CVB,364
14,6YEO,A,OK3,401
15,6YEN,A,KJK,401
16,4KEN,B,1S7,403
17,1GA9,A,ETP,964
18,1FSW,A,CTB,964
19,1XGJ,A,HTC,777
20,1KE3,A,BDB,364
21,1KVL,A,CLS,371
22,1KDS,A,NPB,364
23,4KZ3,A,1U1,401
24,4KZ7,A,1U5,401
25,4KZ8,A,1U6,401
26,1FSY,A,105,964
27,1FCN,A,LOR,961
28,1FCO,A,MOX,961
29,5JOC,A,CIT,400
30,2HDU,A,F12,1009
31,2PU4,A,OX6,901
32,6WHF,A,9EP,506
33,4E3O,A,0NG,401
34,4E3N,A,0NE,401
35,6DPY,A,H7A,401
36,6DPZ,A,H7D,401
37,4LV1,A,NL9,401
38,1I5Q,A,MOX,964
39,4LV2,A,N95,401
40,4LV3,A,25N,401
41,6DPT,A,H7M,401
42,3O87,A,BSG,1
43,3O86,A,BSF,1
44,1IEM,A,CB4,964
45,3O88,A,BSH,1
46,3GV9,A,GV9,1
47,6DPX,A,H7G,401
48,4E3I,A,0N3,401
49,4E3J,A,0N4,401
50,4OLG,A,2TV,401
51,4OLD,A,2UZ,401
52,4E3K,A,0NA,401
53,4E3L,A,0NB,401
54,4E3M,A,0ND,401
55,2I72,A,VA1,964
56,2HDS,C,MOL,1
57,2HDR,A,4A3,503
58,2R9X,A,WH6,365
59,2PU2,A,DK2,702
60,2R9W,A,23C,365
61,6YPD,A,KL8,401
62,1LL5,A,IM2,370
63,1FCM,A,CXU,961
64,3GVB,A,3GV,1
